# size h cpu_time wse_time cpu_max_err wse_max_err cpu_rmse wse_rmse cpu_iter wse_iter
81 80 1.4019761085510254 0.34311652183532715 0.00012937936291479435 0.0001296773861386713 6.323191537419755e-05 6.335554164889821e-05 379 372
321 320 1161.0222518444061 8.092975378036499 1.0468334143309832e-05 1.5697946465831336e-05 2.3127901702214295e-06 5.526545244952238e-06 2981 2056
161 160 984.2523016929626 1.408205270767212 0.0377247892320156 3.4794090239320674e-05 0.0038384006616235668 1.5479336242926645e-05 30000 748
41 40 0.07429075241088867 0.11807441711425781 0.0005125139841571924 0.0005133152008056641 0.00024930886472525896 0.00024956716802468733 181 165
21 20 0.005648612976074219 0.07088112831115723 0.00205230712890625 0.002052783966064453 0.0009748733715892162 0.0009748962517157056 76 76
11 10 0.0010066032409667969 0.06846427917480469 0.008240103721618652 0.008240103721618652 0.003736817776624762 0.0037368422150247213 36 36
241 240 331.94456720352173 3.582484722137451 1.6233014829669656e-05 1.9488929294375623e-05 5.035070996650128e-06 7.922759036100305e-06 2018 1125
121 120 8.672019243240356 0.7352025508880615 5.773711074807952e-05 5.8351772928566525e-05 2.755105413682411e-05 2.814738968911427e-05 653 564
151 150 23.225547552108765 1.167454481124878 3.897493716187306e-05 3.798213303540798e-05 1.8192873858149915e-05 1.800657504715898e-05 860 705
171 170 111.68201756477356 1.5482368469238281 3.5239070162895736e-05 3.153039257675072e-05 1.451333785718472e-05 1.453765863125215e-05 2603 796
160 159 81.53897762298584 1.3272156715393066 2.6732683181762695e-05 3.488863208345183e-05 1.1600108407165844e-05 1.6174735945078497e-05 2507 934
162 161 35.19184184074402 1.3810460567474365 3.428344297418118e-05 3.3472573808923656e-05 1.5638321625693755e-05 1.5749889276197545e-05 952 753
